pygame 2.6.1 (SDL 2.28.4, Python 3.12.6)
Hello from the pygame community. https://www.pygame.org/contribute.html

=== POWER PELLET EATEN! ===
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(11, 11), speed=1.0, fright_timer=287
  inky: after update -> pos=(11,14), mode=frightened, in_house=False, eaten=False, dir=(12, 14), speed=1.0, fright_timer=287
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(13, 15), speed=1.0, fright_timer=287
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=286
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(11, 11), speed=1.0, fright_timer=286
  inky: after update -> pos=(11,14), mode=frightened, in_house=False, eaten=False, dir=(12, 14), speed=1.0, fright_timer=286
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(13, 15), speed=1.0, fright_timer=286
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=285
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(11, 11), speed=1.0, fright_timer=285
  inky: after update -> pos=(11,14), mode=frightened, in_house=False, eaten=False, dir=(12, 14), speed=1.0, fright_timer=285
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(13, 15), speed=1.0, fright_timer=285
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=284
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(11, 11), speed=1.0, fright_timer=284
  inky: after update -> pos=(11,14), mode=frightened, in_house=False, eaten=False, dir=(12, 14), speed=1.0, fright_timer=284
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(13, 15), speed=1.0, fright_timer=284
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=283
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(11, 11), speed=1.0, fright_timer=283
  inky: after update -> pos=(11,14), mode=frightened, in_house=False, eaten=False, dir=(12, 14), speed=1.0, fright_timer=283
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(13, 15), speed=1.0, fright_timer=283
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=282
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(11, 11), speed=1.0, fright_timer=282
  inky: after update -> pos=(11,14), mode=frightened, in_house=False, eaten=False, dir=(12, 14), speed=1.0, fright_timer=282
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(13, 15), speed=1.0, fright_timer=282
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=281
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(11, 11), speed=1.0, fright_timer=281
  inky: after update -> pos=(11,14), mode=frightened, in_house=False, eaten=False, dir=(12, 14), speed=1.0, fright_timer=281
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(13, 15), speed=1.0, fright_timer=281
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=280
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(11, 11), speed=1.0, fright_timer=280
  inky: after update -> pos=(11,14), mode=frightened, in_house=False, eaten=False, dir=(12, 14), speed=1.0, fright_timer=280
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(13, 15), speed=1.0, fright_timer=280
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=279
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(11, 11), speed=1.0, fright_timer=279
  inky: after update -> pos=(11,14), mode=frightened, in_house=False, eaten=False, dir=(12, 14), speed=1.0, fright_timer=279
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(13, 15), speed=1.0, fright_timer=279
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=278
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(11, 11), speed=1.0, fright_timer=278
  inky: after update -> pos=(11,14), mode=frightened, in_house=False, eaten=False, dir=(12, 14), speed=1.0, fright_timer=278
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(13, 15), speed=1.0, fright_timer=278
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=277
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(11, 11), speed=1.0, fright_timer=277
  inky: after update -> pos=(11,14), mode=frightened, in_house=False, eaten=False, dir=(12, 14), speed=1.0, fright_timer=277
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(13, 15), speed=1.0, fright_timer=277
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=276
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(11, 11), speed=1.0, fright_timer=276
  inky: after update -> pos=(11,14), mode=frightened, in_house=False, eaten=False, dir=(12, 14), speed=1.0, fright_timer=276
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(13, 15), speed=1.0, fright_timer=276
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=275
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(11, 11), speed=1.0, fright_timer=275
  inky: after update -> pos=(17,21), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=275
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(13, 15), speed=1.0, fright_timer=275
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=274
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(11, 11), speed=1.0, fright_timer=274
  inky: after update -> pos=(17,21), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=274
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(13, 15), speed=1.0, fright_timer=274
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=273
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(11, 11), speed=1.0, fright_timer=273
  inky: after update -> pos=(17,21), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=273
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(13, 15), speed=1.0, fright_timer=273
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=272
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(11, 11), speed=1.0, fright_timer=272
  inky: after update -> pos=(17,21), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=272
